,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
1139002,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,0.0,0.0,,,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139003,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,0.0,0.0,,,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139009,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,0.0,0.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139010,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,0.0,0.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139016,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,21595.0,20296.0,21595.0,20296.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139017,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,21595.0,20296.0,21595.0,20296.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139023,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,43190.0,40592.0,21595.0,20296.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139024,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,43190.0,40592.0,21595.0,20296.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139030,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,64785.0,60888.0,21595.0,20296.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139031,R029,00-00-00,2020-02-29 03:00:00,3394710.0,5073110.0,64785.0,60888.0,21595.0,20296.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139037,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,86380.0,81184.0,21595.0,20296.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139038,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,86380.0,81184.0,21595.0,20296.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139044,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,86380.0,81184.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139045,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,86380.0,81184.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139051,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,168905.5,166173.25,82526.0,84989.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139052,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,168905.5,166173.25,82526.0,84989.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139058,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,251431.0,251162.5,82526.0,84989.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139059,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,251431.0,251162.5,82526.0,84989.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139065,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,333956.5,336151.75,82526.0,84989.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139066,R029,00-00-00,2020-02-29 07:00:00,3394710.0,5073115.0,333956.5,336151.75,82526.0,84989.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139072,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,416482.0,421141.0,82526.0,84989.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139073,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,416482.0,421141.0,82526.0,84989.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139079,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,416482.0,421141.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139080,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,416482.0,421141.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139086,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,683015.5,554904.25,266534.0,133763.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139087,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,683015.5,554904.25,266534.0,133763.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139093,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,949549.0,688667.5,266534.0,133763.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139094,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,949549.0,688667.5,266534.0,133763.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139100,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,1216082.5,822430.75,266534.0,133763.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139101,R029,00-00-00,2020-02-29 11:00:00,3394713.0,5073196.0,1216082.5,822430.75,266534.0,133763.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139107,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1482616.0,956194.0,266534.0,133763.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139108,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1482616.0,956194.0,266534.0,133763.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139114,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1482616.0,956194.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139115,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1482616.0,956194.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139121,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1624214.0,1074778.75,141598.0,118585.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139122,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1624214.0,1074778.75,141598.0,118585.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139128,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1765812.0,1193363.5,141598.0,118585.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139129,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1765812.0,1193363.5,141598.0,118585.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139135,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1907410.0,1311948.25,141598.0,118585.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139136,R029,00-00-00,2020-02-29 15:00:00,3394745.0,5073293.0,1907410.0,1311948.25,141598.0,118585.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139142,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2049008.0,1430533.0,141598.0,118585.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139143,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2049008.0,1430533.0,141598.0,118585.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139149,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2049008.0,1430533.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139150,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2049008.0,1430533.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139156,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2288858.75,1637478.0,239851.0,206945.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139157,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2288858.75,1637478.0,239851.0,206945.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139163,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2528709.5,1844423.0,239851.0,206945.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139164,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2528709.5,1844423.0,239851.0,206945.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139170,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2768560.25,2051368.0,239851.0,206945.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139171,R029,00-00-00,2020-02-29 19:00:00,3394789.0,5073392.0,2768560.25,2051368.0,239851.0,206945.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139177,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,3008411.0,2258313.0,239851.0,206945.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139178,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,3008411.0,2258313.0,239851.0,206945.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139184,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,3008411.0,2258313.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139185,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,3008411.0,2258313.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139191,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,3694428.25,2819259.5,686017.0,560946.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139192,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,3694428.25,2819259.5,686017.0,560946.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139198,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,4380445.5,3380206.0,686017.0,560946.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139199,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,4380445.5,3380206.0,686017.0,560946.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139205,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,5066462.75,3941152.5,686017.0,560946.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139206,R029,00-00-00,2020-02-29 23:00:00,3394797.0,5073437.0,5066462.75,3941152.5,686017.0,560946.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139212,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5752480.0,4502099.0,686017.0,560946.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139213,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5752480.0,4502099.0,686017.0,560946.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139219,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5752480.0,4502099.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139220,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5752480.0,4502099.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139226,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5781545.25,4531940.5,29065.0,29842.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139227,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5781545.25,4531940.5,29065.0,29842.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139233,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5810610.5,4561782.0,29065.0,29842.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139234,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5810610.5,4561782.0,29065.0,29842.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139240,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5839675.75,4591623.5,29065.0,29842.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139241,R029,00-00-00,2020-03-01 03:00:00,3394804.0,5073448.0,5839675.75,4591623.5,29065.0,29842.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139247,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,5868741.0,4621465.0,29065.0,29842.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139248,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,5868741.0,4621465.0,29065.0,29842.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139254,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,5868741.0,4621465.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139255,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,5868741.0,4621465.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139261,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,6543101.5,5334985.5,674360.0,713520.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139262,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,6543101.5,5334985.5,674360.0,713520.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139268,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,7217462.0,6048506.0,674360.0,713520.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139269,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,7217462.0,6048506.0,674360.0,713520.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139275,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,7891822.5,6762026.5,674360.0,713520.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139276,R029,00-00-00,2020-03-01 07:00:00,3394804.0,5073452.0,7891822.5,6762026.5,674360.0,713520.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139282,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8566183.0,7475547.0,674360.0,713520.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139283,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8566183.0,7475547.0,674360.0,713520.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139289,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8566183.0,7475547.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139290,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8566183.0,7475547.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139296,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8711558.5,7597614.75,145376.0,122068.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139297,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8711558.5,7597614.75,145376.0,122068.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139303,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8856934.0,7719682.5,145376.0,122068.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139304,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,8856934.0,7719682.5,145376.0,122068.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139310,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,9002309.5,7841750.25,145376.0,122068.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139311,R029,00-00-00,2020-03-01 11:00:00,3394808.0,5073502.0,9002309.5,7841750.25,145376.0,122068.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139317,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9147685.0,7963818.0,145376.0,122068.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139318,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9147685.0,7963818.0,145376.0,122068.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139324,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9147685.0,7963818.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139325,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9147685.0,7963818.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139331,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9310936.5,8107603.0,163252.0,143785.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139332,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9310936.5,8107603.0,163252.0,143785.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139338,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9474188.0,8251388.0,163252.0,143785.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139339,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9474188.0,8251388.0,163252.0,143785.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139345,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9637439.5,8395173.0,163252.0,143785.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139346,R029,00-00-00,2020-03-01 15:00:00,3394835.0,5073572.0,9637439.5,8395173.0,163252.0,143785.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139352,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,9800691.0,8538958.0,163252.0,143785.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139353,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,9800691.0,8538958.0,163252.0,143785.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139359,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,9800691.0,8538958.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139360,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,9800691.0,8538958.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139366,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,10093343.5,8703373.75,292652.0,164416.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139367,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,10093343.5,8703373.75,292652.0,164416.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139373,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,10385996.0,8867789.5,292652.0,164416.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139374,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,10385996.0,8867789.5,292652.0,164416.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139380,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,10678648.5,9032205.25,292652.0,164416.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139381,R029,00-00-00,2020-03-01 19:00:00,3394891.0,5073650.0,10678648.5,9032205.25,292652.0,164416.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139387,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,10971301.0,9196621.0,292652.0,164416.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139388,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,10971301.0,9196621.0,292652.0,164416.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139394,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,10971301.0,9196621.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139395,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,10971301.0,9196621.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139401,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,11006640.75,9230810.5,35340.0,34190.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139402,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,11006640.75,9230810.5,35340.0,34190.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139408,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,11041980.5,9265000.0,35340.0,34190.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139409,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,11041980.5,9265000.0,35340.0,34190.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139415,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,11077320.25,9299189.5,35340.0,34190.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139416,R029,00-00-00,2020-03-01 23:00:00,3394906.0,5073671.0,11077320.25,9299189.5,35340.0,34190.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139422,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,11112660.0,9333379.0,35340.0,34190.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139423,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,11112660.0,9333379.0,35340.0,34190.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139429,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,11112660.0,9333379.0,0.0,0.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139430,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,11112660.0,9333379.0,0.0,0.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139436,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,13901647.25,10029961.25,2788987.0,696582.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139437,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,13901647.25,10029961.25,2788987.0,696582.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139443,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,16690634.5,10726543.5,2788987.0,696582.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139444,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,16690634.5,10726543.5,2788987.0,696582.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139450,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,19479621.75,11423125.75,2788987.0,696582.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139451,R029,00-00-00,2020-03-02 03:00:00,3394907.0,5073673.0,19479621.75,11423125.75,2788987.0,696582.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139457,R029,00-00-00,2020-03-02 07:00:00,3394908.0,5073710.0,22268609.0,12119708.0,2788987.0,696582.0,Park Place,ES302,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
1139458,R029,00-00-00,2020-03-02 07:00:00,3394908.0,5073710.0,22268609.0,12119708.0,2788987.0,696582.0,Park Place,ES301,Center Island Platform to Mezzanine,MN,2/3,ES,N,Y,2-3,R029
