,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3004003,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,0.0,0.0,,,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004004,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,0.0,0.0,,,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004005,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,0.0,0.0,,,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004006,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,0.0,0.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004007,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,0.0,0.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004008,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,0.0,0.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004009,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,23691.75,21494.5,23692.0,21494.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004010,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,23691.75,21494.5,23692.0,21494.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004011,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,23691.75,21494.5,23692.0,21494.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004012,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,47383.5,42989.0,23692.0,21494.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004013,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,47383.5,42989.0,23692.0,21494.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004014,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,47383.5,42989.0,23692.0,21494.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004015,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,71075.25,64483.5,23692.0,21494.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004016,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,71075.25,64483.5,23692.0,21494.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004017,R200,00-00-00,2020-02-29 03:00:00,1148839.0,324977.0,71075.25,64483.5,23692.0,21494.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004018,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,94767.0,85978.0,23692.0,21494.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004019,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,94767.0,85978.0,23692.0,21494.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004020,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,94767.0,85978.0,23692.0,21494.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004021,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,94767.0,85978.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004022,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,94767.0,85978.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004023,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,94767.0,85978.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004024,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,190588.25,181680.0,95821.0,95702.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004025,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,190588.25,181680.0,95821.0,95702.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004026,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,190588.25,181680.0,95821.0,95702.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004027,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,286409.5,277382.0,95821.0,95702.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004028,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,286409.5,277382.0,95821.0,95702.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004029,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,286409.5,277382.0,95821.0,95702.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004030,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,382230.75,373084.0,95821.0,95702.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004031,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,382230.75,373084.0,95821.0,95702.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004032,R200,00-00-00,2020-02-29 07:00:00,1148909.0,324985.0,382230.75,373084.0,95821.0,95702.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004033,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,478052.0,468786.0,95821.0,95702.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004034,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,478052.0,468786.0,95821.0,95702.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004035,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,478052.0,468786.0,95821.0,95702.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004036,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,478052.0,468786.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004037,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,478052.0,468786.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004038,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,478052.0,468786.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004039,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,716822.25,581613.75,238770.0,112828.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004040,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,716822.25,581613.75,238770.0,112828.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004041,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,716822.25,581613.75,238770.0,112828.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004042,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,955592.5,694441.5,238770.0,112828.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004043,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,955592.5,694441.5,238770.0,112828.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004044,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,955592.5,694441.5,238770.0,112828.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004045,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,1194362.75,807269.25,238770.0,112828.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004046,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,1194362.75,807269.25,238770.0,112828.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004047,R200,00-00-00,2020-02-29 11:00:00,1149161.0,325033.0,1194362.75,807269.25,238770.0,112828.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004048,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1433133.0,920097.0,238770.0,112828.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004049,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1433133.0,920097.0,238770.0,112828.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004050,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1433133.0,920097.0,238770.0,112828.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004051,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1433133.0,920097.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004052,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1433133.0,920097.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004053,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1433133.0,920097.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004054,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1600555.5,1058364.0,167422.0,138267.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004055,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1600555.5,1058364.0,167422.0,138267.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004056,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1600555.5,1058364.0,167422.0,138267.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004057,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1767978.0,1196631.0,167422.0,138267.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004058,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1767978.0,1196631.0,167422.0,138267.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004059,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1767978.0,1196631.0,167422.0,138267.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004060,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1935400.5,1334898.0,167422.0,138267.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004061,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1935400.5,1334898.0,167422.0,138267.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004062,R200,00-00-00,2020-02-29 15:00:00,1149330.0,325093.0,1935400.5,1334898.0,167422.0,138267.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004063,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2102823.0,1473165.0,167422.0,138267.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004064,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2102823.0,1473165.0,167422.0,138267.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004065,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2102823.0,1473165.0,167422.0,138267.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004066,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2102823.0,1473165.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004067,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2102823.0,1473165.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004068,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2102823.0,1473165.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004069,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2351089.0,1690856.0,248266.0,217691.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004070,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2351089.0,1690856.0,248266.0,217691.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004071,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2351089.0,1690856.0,248266.0,217691.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004072,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2599355.0,1908547.0,248266.0,217691.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004073,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2599355.0,1908547.0,248266.0,217691.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004074,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2599355.0,1908547.0,248266.0,217691.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004075,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2847621.0,2126238.0,248266.0,217691.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004076,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2847621.0,2126238.0,248266.0,217691.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004077,R200,00-00-00,2020-02-29 19:00:00,1149453.0,325159.0,2847621.0,2126238.0,248266.0,217691.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004078,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3095887.0,2343929.0,248266.0,217691.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004079,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3095887.0,2343929.0,248266.0,217691.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004080,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3095887.0,2343929.0,248266.0,217691.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004081,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3095887.0,2343929.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004082,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3095887.0,2343929.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004083,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3095887.0,2343929.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004084,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3265217.5,2472240.0,169330.0,128311.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004085,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3265217.5,2472240.0,169330.0,128311.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004086,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3265217.5,2472240.0,169330.0,128311.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004087,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3434548.0,2600551.0,169330.0,128311.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004088,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3434548.0,2600551.0,169330.0,128311.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004089,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3434548.0,2600551.0,169330.0,128311.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004090,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3603878.5,2728862.0,169330.0,128311.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004091,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3603878.5,2728862.0,169330.0,128311.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004092,R200,00-00-00,2020-02-29 23:00:00,1149499.0,325215.0,3603878.5,2728862.0,169330.0,128311.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004093,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,3773209.0,2857173.0,169330.0,128311.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004094,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,3773209.0,2857173.0,169330.0,128311.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004095,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,3773209.0,2857173.0,169330.0,128311.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004096,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,3773209.0,2857173.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004097,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,3773209.0,2857173.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004098,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,3773209.0,2857173.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004099,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,4301630.25,3302180.75,528421.0,445008.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004100,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,4301630.25,3302180.75,528421.0,445008.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004101,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,4301630.25,3302180.75,528421.0,445008.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004102,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,4830051.5,3747188.5,528421.0,445008.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004103,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,4830051.5,3747188.5,528421.0,445008.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004104,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,4830051.5,3747188.5,528421.0,445008.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004105,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,5358472.75,4192196.25,528421.0,445008.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004106,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,5358472.75,4192196.25,528421.0,445008.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004107,R200,00-00-00,2020-03-01 03:00:00,1149507.0,325232.0,5358472.75,4192196.25,528421.0,445008.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004108,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5886894.0,4637204.0,528421.0,445008.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004109,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5886894.0,4637204.0,528421.0,445008.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004110,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5886894.0,4637204.0,528421.0,445008.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004111,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5886894.0,4637204.0,0.0,0.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004112,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5886894.0,4637204.0,0.0,0.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004113,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5886894.0,4637204.0,0.0,0.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004114,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5904931.75,4650421.0,18038.0,13217.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004115,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5904931.75,4650421.0,18038.0,13217.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004116,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5904931.75,4650421.0,18038.0,13217.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004117,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5922969.5,4663638.0,18038.0,13217.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004118,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5922969.5,4663638.0,18038.0,13217.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004119,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5922969.5,4663638.0,18038.0,13217.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004120,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5941007.25,4676855.0,18038.0,13217.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
3004121,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5941007.25,4676855.0,18038.0,13217.0,Euclid Av,EL343,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004122,R200,00-00-00,2020-03-01 07:00:00,1149554.0,325239.0,5941007.25,4676855.0,18038.0,13217.0,Euclid Av,EL342,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R200
3004123,R200,00-00-00,2020-03-01 11:00:00,1149696.0,325285.0,5959045.0,4690072.0,18038.0,13217.0,Euclid Av,EL341,Euclid Ave & Pitkin Ave (NE corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R200
