,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3615984,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,0.0,0.0,,,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615985,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,0.0,0.0,,,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3615986,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,0.0,0.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615987,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,0.0,0.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3615988,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,6925.25,9063.25,6925.0,9063.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615989,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,6925.25,9063.25,6925.0,9063.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3615990,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,13850.5,18126.5,6925.0,9063.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615991,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,13850.5,18126.5,6925.0,9063.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3615992,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,20775.75,27189.75,6925.0,9063.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615993,R408,00-00-00,2020-02-29 00:00:00,10515061.0,1711783.0,20775.75,27189.75,6925.0,9063.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3615994,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,27701.0,36253.0,6925.0,9063.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615995,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,27701.0,36253.0,6925.0,9063.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3615996,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,27701.0,36253.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615997,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,27701.0,36253.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3615998,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,61352.25,61495.0,33651.0,25242.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3615999,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,61352.25,61495.0,33651.0,25242.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616000,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,95003.5,86737.0,33651.0,25242.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616001,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,95003.5,86737.0,33651.0,25242.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616002,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,128654.75,111979.0,33651.0,25242.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616003,R408,00-00-00,2020-02-29 04:00:00,10515068.0,1711787.0,128654.75,111979.0,33651.0,25242.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616004,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,162306.0,137221.0,33651.0,25242.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616005,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,162306.0,137221.0,33651.0,25242.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616006,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,162306.0,137221.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616007,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,162306.0,137221.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616008,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,269019.25,244186.0,106713.0,106965.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616009,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,269019.25,244186.0,106713.0,106965.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616010,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,375732.5,351151.0,106713.0,106965.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616011,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,375732.5,351151.0,106713.0,106965.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616012,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,482445.75,458116.0,106713.0,106965.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616013,R408,00-00-00,2020-02-29 08:00:00,10515170.0,1711805.0,482445.75,458116.0,106713.0,106965.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616014,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,589159.0,565081.0,106713.0,106965.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616015,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,589159.0,565081.0,106713.0,106965.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616016,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,589159.0,565081.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616017,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,589159.0,565081.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616018,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,916850.75,747516.0,327692.0,182435.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616019,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,916850.75,747516.0,327692.0,182435.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616020,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,1244542.5,929951.0,327692.0,182435.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616021,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,1244542.5,929951.0,327692.0,182435.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616022,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,1572234.25,1112386.0,327692.0,182435.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616023,R408,00-00-00,2020-02-29 12:00:00,10515432.0,1711852.0,1572234.25,1112386.0,327692.0,182435.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616024,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,1899926.0,1294821.0,327692.0,182435.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616025,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,1899926.0,1294821.0,327692.0,182435.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616026,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,1899926.0,1294821.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616027,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,1899926.0,1294821.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616028,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,2095016.0,1462900.5,195090.0,168080.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616029,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,2095016.0,1462900.5,195090.0,168080.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616030,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,2290106.0,1630980.0,195090.0,168080.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616031,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,2290106.0,1630980.0,195090.0,168080.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616032,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,2485196.0,1799059.5,195090.0,168080.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616033,R408,00-00-00,2020-02-29 16:00:00,10515710.0,1711902.0,2485196.0,1799059.5,195090.0,168080.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616034,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,2680286.0,1967139.0,195090.0,168080.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616035,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,2680286.0,1967139.0,195090.0,168080.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616036,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,2680286.0,1967139.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616037,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,2680286.0,1967139.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616038,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,2937530.25,2173996.25,257244.0,206857.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616039,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,2937530.25,2173996.25,257244.0,206857.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616040,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,3194774.5,2380853.5,257244.0,206857.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616041,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,3194774.5,2380853.5,257244.0,206857.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616042,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,3452018.75,2587710.75,257244.0,206857.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616043,R408,00-00-00,2020-02-29 20:00:00,10515888.0,1711937.0,3452018.75,2587710.75,257244.0,206857.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616044,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,3709263.0,2794568.0,257244.0,206857.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616045,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,3709263.0,2794568.0,257244.0,206857.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616046,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,3709263.0,2794568.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616047,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,3709263.0,2794568.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616048,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,4240104.0,3243713.25,530841.0,449145.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616049,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,4240104.0,3243713.25,530841.0,449145.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616050,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,4770945.0,3692858.5,530841.0,449145.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616051,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,4770945.0,3692858.5,530841.0,449145.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616052,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,5301786.0,4142003.75,530841.0,449145.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616053,R408,00-00-00,2020-03-01 00:00:00,10515933.0,1711960.0,5301786.0,4142003.75,530841.0,449145.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616054,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5832627.0,4591149.0,530841.0,449145.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616055,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5832627.0,4591149.0,530841.0,449145.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616056,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5832627.0,4591149.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616057,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5832627.0,4591149.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616058,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5856069.25,4609216.5,23442.0,18068.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616059,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5856069.25,4609216.5,23442.0,18068.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616060,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5879511.5,4627284.0,23442.0,18068.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616061,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5879511.5,4627284.0,23442.0,18068.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616062,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5902953.75,4645351.5,23442.0,18068.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616063,R408,00-00-00,2020-03-01 04:00:00,10515937.0,1711965.0,5902953.75,4645351.5,23442.0,18068.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616064,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,5926396.0,4663419.0,23442.0,18068.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616065,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,5926396.0,4663419.0,23442.0,18068.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616066,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,5926396.0,4663419.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616067,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,5926396.0,4663419.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616068,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,6607887.75,5384446.75,681492.0,721028.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616069,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,6607887.75,5384446.75,681492.0,721028.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616070,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,7289379.5,6105474.5,681492.0,721028.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616071,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,7289379.5,6105474.5,681492.0,721028.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616072,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,7970871.25,6826502.25,681492.0,721028.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616073,R408,00-00-00,2020-03-01 08:00:00,10515995.0,1711973.0,7970871.25,6826502.25,681492.0,721028.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616074,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,8652363.0,7547530.0,681492.0,721028.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616075,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,8652363.0,7547530.0,681492.0,721028.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616076,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,8652363.0,7547530.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616077,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,8652363.0,7547530.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616078,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,8875799.25,7739835.5,223436.0,192306.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616079,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,8875799.25,7739835.5,223436.0,192306.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616080,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,9099235.5,7932141.0,223436.0,192306.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616081,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,9099235.5,7932141.0,223436.0,192306.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616082,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,9322671.75,8124446.5,223436.0,192306.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616083,R408,00-00-00,2020-03-01 12:00:00,10516158.0,1711996.0,9322671.75,8124446.5,223436.0,192306.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616084,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9546108.0,8316752.0,223436.0,192306.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616085,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9546108.0,8316752.0,223436.0,192306.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616086,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9546108.0,8316752.0,0.0,0.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616087,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9546108.0,8316752.0,0.0,0.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616088,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9682233.75,8435627.5,136126.0,118876.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616089,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9682233.75,8435627.5,136126.0,118876.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616090,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9818359.5,8554503.0,136126.0,118876.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616091,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9818359.5,8554503.0,136126.0,118876.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
3616092,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9954485.25,8673378.5,136126.0,118876.0,Simpson St,EL128,Westchester Ave & Simpson St (NE corner) to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R408
3616093,R408,00-00-00,2020-03-01 16:00:00,10516355.0,1712040.0,9954485.25,8673378.5,136126.0,118876.0,Simpson St,EL127,Westchester Ave & Simpson St (SW corner) to Wakefield 241 St bound Platform,BX,2/5,EL,Y,Y,2-5,R408
